source_name,grupa,page,matched_id,matched_naziv,status,match_type,kcal,p_g,m_g,uh_g,holesterol_mg,suggestions
"BORANIJA - zelena, žuta",POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,28.0,2.0,0.0,5.0,0.0,boranija_zamrznuta:boranija zamrznuta:0.74
PASULJ,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,52.0,4.1,0.0,7.7,0.0,
KUKURUZ ŠEĆERAC,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,127.0,4.1,2.4,23.7,0.0,kukuruz_secerac_oce_en:kukuruz šećerac (oceđen):0.79
KRASTAVAC - svež,POVRĆE I PROIZVODI OD POVRĆA,3,krastavac,krastavac,applied,manual,14.0,0.7,0.5,1.8,0.0,kvasac_svez:kvasac svež:0.80 | krastavac:krastavac:0.78
KRASTAVAC - kiseli,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,10.0,0.5,0.2,2.0,0.0,krastavci:krastavci:0.72 | krastavac:krastavac:0.72
"PAPRIKA - žuta, slatka",POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,22.0,0.5,0.3,3.1,0.0,
KISELA PAPRIKA,POVRĆE I PROIZVODI OD POVRĆA,3,kisela_paprika_tursija,kisela paprika (turšija),applied,manual,15.0,0.8,0.6,1.7,0.0,zelena_paprika:zelena paprika:0.79 | kisela_pavlaka:kisela pavlaka:0.79 | kisela_paprika_tursija:kisela paprika (turšija):0.78
PATLIDŽAN,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,16.0,1.1,0.1,2.9,0.0,plavi_patlidzan:plavi patlidžan:0.75
BUNDEVA žuta,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,15.0,0.6,0.0,3.4,0.0,
TIKVICE,POVRĆE I PROIZVODI OD POVRĆA,3,tikvice,tikvice,applied,exact,15.0,1.3,0.1,2.3,0.0,tikvice:tikvice:1.00 | rotkvice:rotkvice:0.80
KELERABA,POVRĆE I PROIZVODI OD POVRĆA,3,keleraba,keleraba,applied,exact,24.0,2.0,0.0,4.0,0.0,keleraba:keleraba:1.00
"LUK - beli, svež",POVRĆE I PROIZVODI OD POVRĆA,3,beli_luk,beli luk,applied,manual,136.0,6.0,0.0,28.0,0.0,
"LUK - crveni, svež",POVRĆE I PROIZVODI OD POVRĆA,3,crni_luk,crni luk,applied,manual,24.0,0.9,0.0,5.2,0.0,
PORILUK celi,POVRĆE I PROIZVODI OD POVRĆA,3,praziluk,praziluk,applied,manual,28.0,2.0,0.0,5.0,0.0,
CELER koren,POVRĆE I PROIZVODI OD POVRĆA,3,celer_koren,celer koren,applied,exact,23.0,1.9,0.1,3.8,0.0,celer_koren:celer koren:1.00
CVEKLA,POVRĆE I PROIZVODI OD POVRĆA,3,cvekla,cvekla,applied,exact,36.0,2.0,0.0,7.0,0.0,cvekla:cvekla:1.00
SALATA OD CVEKLE,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,32.0,1.1,0.1,7.0,0.0,
REN,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,59.0,4.5,0.0,11.0,0.0,
ŠARGAREPA,POVRĆE I PROIZVODI OD POVRĆA,3,sargarepa,šargarepa,applied,exact,36.0,1.0,0.0,8.0,0.0,sargarepa:šargarepa:1.00
ROTKVICA - crvena,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,15.0,1.0,0.0,2.8,0.0,
KROMPIR mladi,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,71.0,0.9,0.2,17.6,0.0,
KROMPIR zreli,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,87.0,2.1,0.2,17.6,0.0,
ŠAMPINJONI sveži,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,16.0,2.3,0.4,1.0,0.0,sampinjoni:šampinjoni:0.77
KEćAP,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,140.0,1.0,0.0,34.0,0.0,
KUVANI PARADAJZ,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,39.0,1.7,0.0,7.0,0.0,suvi_paradajz:suvi paradajz:0.86 | pasirani_paradajz:pasirani paradajz:0.75
MASLAC - neslani,MASTI I ULJA,3,puter,puter,applied,manual,751.0,1.0,83.0,0.0,225.0,
SVINJSKA MAST,MASTI I ULJA,3,,,review,,891.0,,99.0,0.0,70.0,svinjska_rebra:svinjska rebra:0.74 | svinjski_but:svinjski but:0.72
KOKOŠJA MAST,MASTI I ULJA,3,,,review,,885.0,0.0,98.5,0.0,85.0,
"SLANINA - svinjska; sirova, soljena",MASTI I ULJA,3,,,review,,782.0,3.9,85.0,0.0,,
ULJE - kukuruzno,MASTI I ULJA,3,,,review,,900.0,0.0,99.9,0.0,0.0,
ULJE - maslinovo,MASTI I ULJA,3,maslinovo_ulje,maslinovo ulje,applied,manual,900.0,0.0,99.9,0.0,0.0,
ULJE - suncokretovo,MASTI I ULJA,3,suncokretovo_ulje,suncokretovo ulje,applied,manual,900.0,0.0,99.9,0.0,0.0,
MARGARIN Soft,MASTI I ULJA,3,,,review,,730.0,0.1,81.0,0.0,,margarin:margarin:0.76
PHILADELPHIA Fitness,MASTI I ULJA,3,,,review,,190.0,7.6,16.0,3.4,,
PHILADELPHIA Doppelrahmstufe,MASTI I ULJA,3,,,review,,290.0,6.5,28.0,3.1,,
MAJONEZ Delikates,MASTI I ULJA,3,,,review,,729.0,0.96,75.0,2.03,,
MAJONEZ,MASTI I ULJA,3,majonez,majonez,applied,exact,732.0,1.0,80.0,2.0,,majonez:majonez:1.00
ŠEčER - kristal,"ŠEĆER, MED I SLATKIŠI",4,,,review,,400.0,0.0,0.0,99.9,0.0,
ŠEčER - smeđi,"ŠEĆER, MED I SLATKIŠI",4,,,review,,380.0,0.0,0.0,95.0,0.0,
MED vrcani,"ŠEĆER, MED I SLATKIŠI",4,med,med,applied,manual,320.0,0.4,0.0,80.0,0.0,
